sim rep samples read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2 runtime runtime_full maf snps
1 1 10 0.1 0.10812 0.09826254 1 0.098321155 1 2 10 raw 100000
2 1 10 0.5 0.10144 1.0269251 1 0.9975579 1 4 4 raw 100000
1 1 10 0.1 0.10812 0.0930849 1 0.0942123 1 2 10 filtered 100000
2 1 10 0.5 0.10144 0.97900826 1 0.9659671 1 1 5 filtered 100000
1 2 10 0.1 0.12357 0.09582165 1 0.097412884 1 2 10 raw 100000
2 2 10 0.5 0.09475 1.0200498 1 1.0056428 1 1 5 raw 100000
4 1 10 5 0.11563 6.349476 1 6.222836 1 1 2 raw 100000
1 2 10 0.1 0.12357 0.09225801 1 0.09130041 1 2 10 filtered 100000
3 1 10 1 0.10126 2.1871767 1 2.1628602 1 5 5 raw 100000
2 2 10 0.5 0.09475 0.97657776 1 0.9777113 1 1 4 filtered 100000
4 1 10 5 0.11563 6.110052 1 6.1792083 1 0 2 filtered 100000
3 1 10 1 0.10126 2.1449535 1 2.139781 1 1 5 filtered 100000
1 3 10 0.1 0.11288 0.09461081 1 0.10069711 1 1 10 raw 100000
2 3 10 0.5 0.11193 1.0131571 1 0.9869403 1 1 5 raw 100000
4 2 10 5 0.13209 6.2289157 1 6.063027 1 1 1 raw 100000
2 3 10 0.5 0.11193 0.94434506 1 0.9580623 1 1 4 filtered 100000
3 2 10 1 0.11347 2.191366 1 2.1238196 1 1 5 raw 100000
1 3 10 0.1 0.11288 0.092533946 1 0.09274343 1 2 10 filtered 100000
4 2 10 5 0.13209 6.0897317 1 6.124547 1 1 2 filtered 100000
3 2 10 1 0.11347 2.1593373 1 2.123813 1 2 6 filtered 100000
2 4 10 0.5 0.11 0.9970602 1 0.9722197 1 1 5 raw 100000
1 4 10 0.1 0.09953 0.10061934 1 0.09840127 1 2 10 raw 100000
4 3 10 5 0.11411 6.428258 1 6.2046757 1 1 2 raw 100000
2 4 10 0.5 0.11 0.9629414 1 0.94885284 1 1 4 filtered 100000
4 3 10 5 0.11411 6.324442 1 6.2016754 1 1 2 filtered 100000
1 4 10 0.1 0.09953 0.094206065 1 0.09462227 1 1 10 filtered 100000
3 3 10 1 0.10755 2.1809902 1 2.1544108 1 2 5 raw 100000
5 1 10 10 0.11806 7.12291 1 7.1284018 1 3 1 raw 100000
3 3 10 1 0.10755 2.146048 1 2.1502817 1 1 5 filtered 100000
5 1 10 10 0.11806 6.9723973 1 6.94963 1 0 2 filtered 100000
2 5 10 0.5 0.11344 0.9714508 1 1.0089537 1 1 4 raw 100000
4 4 10 5 0.09628 6.433268 1 6.3143773 1 1 1 raw 100000
1 5 10 0.1 0.10526 0.09872424 1 0.10108786 1 2 10 raw 100000
2 5 10 0.5 0.11344 0.9460987 1 0.96433276 1 2 4 filtered 100000
4 4 10 5 0.09628 6.3898444 1 6.2586536 1 1 1 filtered 100000
3 4 10 1 0.10058 2.2321243 1 2.155927 1 1 5 raw 100000
