sim rep samples_pop1 samples_pop2 read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2
1 1 10 10 1 0.02233 2.3227556 1 2.299808 1
2 1 10 10 5 0.01967 7.1059875 1 6.982331 1
3 1 10 10 10 0.01963 8.088662 1 7.987453 1
5 1 10 50 5 0.01964 6.4627295 1 42.70836 0.98
4 1 10 50 1 0.01737 2.2431695 0.5 17.681593 1
28 1 10 10 1 0.01334 2.3246136 1 2.3238726 1
30 1 10 10 10 0.01183 8.106572 1 8.187267 0.9
6 1 10 50 10 0.02053 7.420113 1 48.464554 1
12 1 50 10 10 0.01922 48.411674 1 7.5069623 1
1 2 10 10 1 0.01812 2.2968276 1 2.3286638 1
29 1 10 10 5 0.00558 7.2300987 0.8 7.279028 0.9
2 2 10 10 5 0.01821 7.0452776 1 7.060227 1
3 2 10 10 10 0.01994 8.021701 1 7.995701 1
11 1 50 10 5 0.01939 42.7069 1 6.625198 1
10 1 50 10 1 0.01639 17.686453 1 2.2520201 0.4
13 1 50 50 1 0.01886 16.810549 1 16.836567 1
14 1 50 50 5 0.02246 41.331974 1 41.0745 1
15 1 50 50 10 0.02108 47.26588 0.96 47.434647 1
20 1 100 10 5 0.01819 85.76469 1 6.408989 1
8 1 10 100 5 0.01777 6.4987936 0.9 85.68171 1
28 2 10 10 1 0.01326 2.3338323 1 2.3110545 1
30 2 10 10 10 0.00778 8.279493 0.9 8.283615 1
1 3 10 10 1 0.0203 2.293878 1 2.3108118 0.9
2 3 10 10 5 0.01993 6.892085 1 7.036146 1
29 2 10 10 5 0.01207 7.1818514 1 7.107303 1
3 3 10 10 10 0.01914 8.041693 1 8.033368 1
7 1 10 100 1 0.01682 2.2466223 0 36.329777 1
32 1 10 50 5 0.01072 6.76099 0.8 42.80938 1
21 1 100 10 10 0.01932 97.03382 1 7.33353 1
33 1 10 50 10 0.01128 7.777981 0.9 48.49735 1
31 1 10 50 1 0.01135 2.3033519 0 17.671436 1
17 1 50 100 5 0.01993 40.156563 1 85.1363 1
5 2 10 50 5 0.01979 6.5384617 1 42.74757 1
4 2 10 50 1 0.02201 2.2155344 0.6 17.61393 1
6 2 10 50 10 0.02095 7.2280617 1 48.443016 1
16 1 50 100 1 0.01738 16.42746 0.98 35.86173 0.99
12 2 50 10 10 0.01653 48.46169 1 7.537367 0.9
9 1 10 100 10 0.01687 7.275701 1 97.03366 1
28 3 10 10 1 0.00874 2.3609145 1 2.3549154 0.9
18 1 50 100 10 0.01981 46.2319 1 96.54919 1
34 1 10 100 1 0.00929 2.3276868 0 36.313625 1
19 1 100 10 1 0.01492 36.323265 1 2.2152967 0
1 4 10 10 1 0.02063 2.3267574 0.9 2.309936 1
2 4 10 10 5 0.02062 6.9324512 1 7.071956 1
30 3 10 10 10 0.00966 8.265099 1 8.246737 0.9
29 3 10 10 5 0.01173 7.2003555 1 7.0490355 1
3 4 10 10 10 0.01374 8.182803 1 8.241194 0.9
36 1 10 100 10 0.01021 7.7840385 0.6 97.03036 1
37 1 50 10 1 0.01253 17.693266 1 2.263464 0.1
11 2 50 10 5 0.02109 42.685604 1 6.3482294 1
35 1 10 100 5 0.0124 6.738445 0.5 85.72433 1
24 1 100 50 10 0.01847 96.89227 0.99 46.62545 0.98
23 1 100 50 5 0.02154 85.19641 1 40.07289 0.98
13 2 50 50 1 0.01806 16.89233 1 16.88247 1
10 2 50 10 1 0.01858 17.643026 1 2.199669 0.5
22 1 100 50 1 0.02034 35.687042 1 16.245604 0.98
39 1 50 10 10 0.01182 48.48653 1 7.785406 0.9
28 4 10 10 1 0.00974 2.320534 0.9 2.3737717 1
1 5 10 10 1 0.01503 2.3275213 0.9 2.311217 1
2 5 10 10 5 0.02192 6.946189 1 6.9806685 1
30 4 10 10 10 0.00787 8.250782 0.9 8.175551 1
32 2 10 50 5 0.01007 6.911445 0.8 42.795067 1
14 2 50 50 5 0.01973 41.114315 1 41.290844 0.98
38 1 50 10 5 0.01022 42.81195 1 6.8328958 0.8
29 4 10 10 5 0.00533 7.211385 1 7.3471274 0.9
3 5 10 10 10 0.01727 8.039419 1 7.9725933 1
33 2 10 50 10 0.01009 7.7195673 0.9 48.497765 1
