sim rep samples read_depth fst_13 fst_23 ne_pop2 acc_pop32 acc_pop2 z_ind pop runtime_ref_z runtime_z
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.3150248 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.3907151 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.3380867 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.6663311 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -1.1114376 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -1.0837223 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.7178709 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.8082913 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.8034341 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.3899677 pop3 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 0.0321016 pop2 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 1.8542522 pop2 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 0.2264708 pop2 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.0143153 pop2 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 0.2399516 pop2 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.0240211 pop2 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.7381580 pop2 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.6230572 pop2 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 0.1486954 pop2 43 20
13 1 10 1 0.02351 0.01156 2.43903 1 0.9 -0.5629172 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.3746074 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.7827545 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.1820632 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.3214494 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 1.4178078 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.3182305 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.2197213 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.0893316 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.0902395 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 2.0427106 pop3 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.3668277 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.5827276 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.1437453 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.1549479 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.3020330 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.0280811 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.2495643 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.7621356 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.1885718 pop2 43 20
19 1 10 1 0.01378 0.00442 2.4560134 1 1 -0.1525298 pop2 43 20
7 1 10 1 0.039 0.02576 2.3651726 1 1 -1.3398525 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -1.0698985 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.6873617 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.7701004 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -1.4416413 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.6219632 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.8895355 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -1.7912344 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.5001112 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.8215906 pop3 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 2.5437143 pop2 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.6683832 pop2 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.6204752 pop2 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.9088779 pop2 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 2.8664570 pop2 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.2513773 pop2 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 0.1120289 pop2 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.7126689 pop2 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 0.0444020 pop2 42 19
7 1 10 1 0.039 0.02576 2.3651726 1 1 -0.2922336 pop2 42 19
20 1 10 5 0.0169 0.00611 7.295883 1 1 -0.9769000 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -0.9343934 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 0.2042808 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -2.6358525 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 2.8583331 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -3.1875510 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -2.7389004 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -1.6813069 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -3.0347871 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -4.0464069 pop3 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 2.8986893 pop2 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 0.2661257 pop2 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -1.8997621 pop2 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -0.7321367 pop2 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -1.0629471 pop2 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 1.2558867 pop2 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -0.6043958 pop2 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -0.3605102 pop2 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 -1.5308895 pop2 52 25
20 1 10 5 0.0169 0.00611 7.295883 1 1 0.1765993 pop2 52 25
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -2.1012730 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -2.1754180 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -1.9022611 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -1.7861378 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -4.9036075 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -1.1790862 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -1.1306317 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -2.9189041 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -0.6278994 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -0.4338229 pop3 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 0.9798435 pop2 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 0.0906099 pop2 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -0.3983733 pop2 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -0.1536050 pop2 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -0.5668685 pop2 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 0.8032808 pop2 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -0.0705711 pop2 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -0.8214163 pop2 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 -0.6977593 pop2 50 24
8 1 10 5 0.04139 0.01992 7.1355267 1 1 0.7341276 pop2 50 24
14 1 10 5 0.02332 0.00974 7.283155 1 1 -1.9953328 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 -1.6334900 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 0.1870291 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 1.0231621 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 0.6113854 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 -0.6616427 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 -0.0109585 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 -3.1383802 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 -1.6150504 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 -0.8729555 pop3 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 -1.3520834 pop2 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 0.6383075 pop2 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 1.1067652 pop2 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 2.4212116 pop2 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 -0.5007024 pop2 50 25
